,규모,면적,신축년도,용도지역,주소
556,지상5/지하0,340㎡,2013년 12월 23일,2종일주,광주광역시 북구 용봉동 1349-2
557,지상4/지하0,158.5㎡,2003년 03월 28일,2종일주,광주광역시 북구 용봉동 1249-26
558,지상4/지하1,295.8㎡,1991년 05월 07일,2종일주,광주광역시 북구 용봉동 1248-33
559,지상4/지하1,297.4㎡,1991년 05월 08일,2종일주,광주광역시 북구 용봉동 1248-32
560,지상5/지하0,368.2㎡,2012년 12월 28일,2종일주,광주광역시 북구 용봉동 1246-10
561,지상4/지하0,434㎡,2013년 04월 26일,1종일주,광주광역시 북구 용봉동 1233-17
562,지상4/지하0,152.1㎡,2012년 03월 08일,1종일주,광주광역시 북구 용봉동 1211-6
563,지상4/지하0,306.4㎡,2013년 09월 30일,1종일주,광주광역시 북구 용봉동 1210-11
564,지상4/지하0,286.7㎡,2002년 12월 03일,2종일주,광주광역시 북구 용봉동 1204-9
565,지상4/지하0,203㎡,2002년 02월 27일,1종일주,광주광역시 북구 용봉동 1201-21
566,지상4/지하1,562.6㎡,1993년 12월 24일,2종일주,광주광역시 북구 용봉동 1200-1
567,지상5/지하0,440㎡,2014년 02월 21일,3종일주,광주광역시 북구 용봉동 1064
568,지상5/지하0,222㎡,2005년 09월 01일,2종일주,광주광역시 북구 용봉동 907
569,지상5/지하0,235㎡,2008년 03월 12일,2종일주,광주광역시 북구 용봉동 853-7
570,지상4/지하0,220㎡,2001년 08월 20일,2종일주,광주광역시 북구 용봉동 832-8
571,지상4/지하0,409㎡,2005년 12월 29일,2종일주,광주광역시 북구 용봉동 832-3
572,지상4/지하0,186㎡,2001년 08월 20일,2종일주,광주광역시 북구 용봉동 832-1
573,지상4/지하0,380㎡,2005년 10월 12일,준주거,광주광역시 북구 용봉동 751-3
574,지상4/지하0,233.6㎡,2002년 07월 29일,1종일주,광주광역시 북구 용봉동 145-38
575,지상3/지하1,302㎡,1987년 07월 23일,준주거,광주광역시 북구 운암동 1604-1
576,지상3/지하1,223㎡,1987년 07월 23일,준주거,광주광역시 북구 운암동 1604
